Wall time,Step,Value
1543804494.9794838,1429,0.0
1543804494.9795973,1498,0.0
1543804500.937858,2658,0.0
1543804505.4739819,3402,0.0
1543804519.306187,6092,0.0
1543804532.8373804,8732,0.0
1543804534.3555627,8910,1.0
1543804537.3319805,9590,0.0
1543804541.8168395,10293,0.0
1543804547.9125574,11401,0.0
1543804547.9126348,11447,0.0
1543804549.4646044,11875,2.0
1543804597.684464,18966,0.0
1543804617.2259674,21761,0.0
1543804629.2496135,23525,0.0
1543804633.2392573,24195,0.0
1543804648.1531608,26250,1.0
1543804653.2206404,26731,0.0
1543804684.1542265,30135,1.0
1543804686.8609593,30404,0.0
1543804709.4186952,32629,0.0
1543804720.3451908,33837,0.0
1543804723.0625935,34191,0.0
1543804736.0934525,35553,1.0
1543804802.6914687,43201,1.0
1543804825.6466575,45635,1.0
1543804852.9818778,49080,0.0
1543804875.3930209,52012,0.0
1543804915.9505098,56552,0.0
1543804974.6660688,63819,1.0
1543805020.3809035,68951,1.0
1543805022.8433414,69126,1.0
1543805032.8829985,70173,0.0
1543805035.3628247,70585,1.0
1543805068.7669694,74981,2.0
1543805072.8141088,75746,2.0
1543805099.2012932,79705,1.0
1543805122.4954708,82561,1.0
1543805164.3708305,87476,0.0
1543805187.5176904,90112,2.0
1543805212.1831534,93261,1.0
1543805294.590733,103341,1.0
1543805324.4586492,106998,2.0
1543805329.4691038,107605,3.0
1543805409.5050545,117275,0.0
1543805429.8480148,119705,0.0
1543805439.9847178,120853,2.0
1543805467.7663488,124346,2.0
1543805495.4341729,127693,5.0
1543805569.0431275,136369,4.0
1543805619.1337562,142222,0.0
1543805693.9545798,151669,1.0
1543805706.6060781,152860,1.0
1543805729.432627,155753,1.0
1543805757.1429493,159188,1.0
1543805787.026815,162638,1.0
1543805844.634823,169764,1.0
1543805885.2278404,174927,0.0
1543805897.8650184,176163,2.0
1543805897.865217,176209,0.0
1543805900.3836663,176554,0.0
1543805915.9384615,178583,2.0
1543805918.4001367,178789,3.0
1543805930.8591223,180296,0.0
1543805933.4240346,180573,0.0
1543805953.511107,183196,2.0
1543806067.3261201,196975,2.0
1543806108.1974697,202235,1.0
1543806265.5192318,221409,3.0
1543806313.4671512,227083,0.0
1543806316.0456238,227415,1.0
1543806407.2937794,238230,2.0
1543806458.3616056,244269,1.0
1543806468.5492394,245661,1.0
1543806471.0902803,245811,0.0
1543806509.3601499,250694,1.0
1543806637.115753,266357,1.0
1543806762.1639376,281223,2.0
1543806762.1640935,281269,0.0
1543806790.843343,284763,0.0
1543806845.5053136,291097,1.0
1543806902.3109703,298111,1.0
